,country,avg_ed_years,prim_comp_rate,gdp_capita,gdp_capita_ppp,gov_exp,lit_rate,stu_teach_ratio
0,Afghanistan,2.92,47.47,473.99,1550.81,3.53,26.81,61.16
1,Albania,9.77,97.35,3983.29,9612.27,3.44,98.85,23.32
2,Algeria,5.57,94.24,4317.6,13121.17,4.34,75.1,23.42
3,Armenia,10.84,99.53,3247.63,7317.55,2.88,99.87,18.41
4,Bangladesh,4.55,73.4,927.92,2783.17,1.94,59.12,30.05
5,Barbados,9.26,98.45,16160.28,16656.04,5.35,99.7,14.59
6,Benin,3.1,52.58,781.26,1901.86,3.02,28.76,45.94
7,Burundi,2.48,35.45,230.06,716.31,5.51,52.17,46.22
8,Cambodia,3.81,65.94,906.7,2809.77,1.75,74.48,43.56
9,Cameroon,5.72,66.54,1310.61,3021.6,2.87,71.28,57.6
10,Central African Republic,3.42,34.32,430.92,837.32,1.35,37.12,83.41
11,Chile,9.56,96.34,12420.96,19345.87,4.17,97.8,18.34
12,Colombia,7.57,90.2,5892.63,11621.88,4.4,94.2,25.08
13,"Congo, Dem. Rep.",3.54,53.82,377.89,707.02,1.88,69.03,33.75
14,Costa Rica,7.9,92.85,8592.86,13435.47,6.28,98.0,12.7
15,Cote d'Ivoire,3.98,47.17,1275.08,2939.15,4.16,40.83,43.48
16,Dominican Republic,7.25,87.32,5717.15,12003.01,2.05,90.72,22.71
17,Ecuador,7.23,96.07,4917.56,9781.65,4.78,94.31,28.61
18,"Egypt, Arab Rep.",6.08,86.77,2474.44,9747.63,4.18,65.64,25.27
19,El Salvador,7.16,83.84,3210.61,6591.25,3.84,85.64,28.28
20,Eswatini,3.58,67.03,3700.55,8478.18,6.45,84.87,37.55
21,"Gambia, The",2.59,61.13,728.16,2329.79,1.81,38.96,43.01
22,Ghana,6.58,66.99,1461.85,3333.19,5.61,71.56,52.92
23,India,5.11,83.73,1325.82,4872.45,3.48,65.11,35.59
24,Indonesia,6.57,94.9,2832.79,9056.69,3.16,94.38,18.45
25,Jamaica,9.38,99.21,4735.06,8243.14,5.6,88.9,24.27
26,Jordan,8.85,97.25,3505.34,8950.81,3.23,94.52,18.24
27,Kazakhstan,11.58,99.71,8764.15,20982.48,2.68,99.81,18.2
28,Lao PDR,4.4,71.29,1425.18,4699.29,2.38,69.76,27.69
29,Lesotho,6.24,64.69,1089.43,2508.31,10.25,75.02,42.73
30,Liberia,3.94,26.72,551.7,1125.09,2.14,43.46,32.97
31,Malawi,3.84,48.75,373.72,1054.85,4.63,59.96,64.81
32,Maldives,3.72,97.5,7159.46,12239.76,4.32,98.57,16.63
33,Moldova,10.12,98.62,1964.63,5104.03,7.09,99.67,18.16
34,Mongolia,8.95,97.07,2884.13,9163.45,4.7,98.46,29.5
35,Morocco,4.02,57.54,2769.79,6627.32,5.3,58.14,26.39
36,Mozambique,1.18,37.9,522.42,1089.72,4.99,50.84,56.71
37,Myanmar,3.82,83.18,878.17,4009.82,1.68,75.27,24.7
38,Namibia,6.08,81.11,4902.97,9134.4,7.0,85.39,27.97
39,Nepal,3.06,74.56,616.91,2134.7,3.97,56.44,23.26
40,Niger,1.38,22.6,346.09,844.3,3.32,27.77,38.06
41,Panama,9.06,93.61,9822.01,17491.1,3.41,95.62,23.84
42,Paraguay,7.05,88.39,4370.5,9977.22,3.2,94.84,27.89
43,Peru,8.93,93.88,5154.67,10507.31,3.24,92.27,21.54
44,Philippines,8.02,87.4,2239.15,6063.53,2.47,96.55,29.47
45,Qatar,7.77,99.02,67461.32,116342.47,3.67,90.71,11.51
46,Rwanda,3.14,34.87,581.94,1510.14,3.91,65.99,58.86
47,Senegal,1.96,43.14,1270.34,2879.33,4.71,42.09,32.7
48,Serbia,10.59,99.43,5822.74,13200.75,4.05,99.36,14.76
49,Sierra Leone,2.87,49.97,467.56,1308.55,3.52,29.06,61.71
50,Sri Lanka,9.8,98.38,2815.08,9297.93,2.12,91.86,26.9
51,Tajikistan,11.02,98.11,737.51,2326.7,3.79,99.8,23.34
52,Tanzania,4.94,69.53,783.09,2355.5,3.84,73.8,47.51
53,Thailand,6.87,97.98,5047.27,14000.08,4.0,94.92,15.76
54,Togo,4.28,64.84,545.53,1328.75,4.21,53.51,135.61
55,Tunisia,6.16,94.55,3830.86,10245.01,6.44,78.79,16.75
56,Ukraine,11.25,99.59,2837.5,7966.13,6.11,99.98,19.75
57,Uruguay,7.99,96.95,12048.46,17499.41,3.87,98.66,11.34
58,"Yemen, Rep.",2.23,61.75,1194.7,3698.57,5.15,41.0,45.27
59,Zambia,6.46,69.54,1348.54,3297.77,2.91,75.86,43.92
60,Zimbabwe,7.0,87.52,1055.89,2204.45,5.24,85.78,49.0
