Country Name,"Barro-Lee: Average years of total schooling, age 25+, female","Barro-Lee: Average years of total schooling, age 25+, total","Completion rate, primary education, both sexes (%)","Completion rate, primary education, female (%)","Completion rate, primary education, male (%)",GDP per capita (current US$),"GDP per capita, PPP (current international $)",Government expenditure on education as % of GDP (%),Government expenditure on primary education as % of GDP (%),"Government expenditure on primary education, US$ (millions)","Literacy rate, population 25-64 years, both sexes (%)","Literacy rate, population 25-64 years, female (%)","Literacy rate, population 25-64 years, male (%)",Population growth (annual %),Pupil-qualified teacher ratio in primary education (headcount basis)
Afghanistan,1.08,2.92,47.47,33.5,60.53,473.99,1550.81,3.53,1.95,373.82,26.81,11.37,41.59,3.01,61.16
Albania,9.47,9.77,97.35,97.49,97.22,3983.29,9612.27,3.44,2.02,246.56,98.85,98.75,98.95,-0.39,23.32
Algeria,4.84,5.57,94.24,94.8,93.71,4317.6,13121.17,4.34,,,75.1,65.74,84.37,1.79,23.42
American Samoa,,,,,,10470.42,,14.63,,,,,,-0.47,
Andorra,,,,,,41321.63,,2.75,0.68,22.17,,,,0.34,10.05
Angola,,,59.87,56.54,63.41,3683.42,6138.64,2.61,0.75,330.87,62.47,47.13,79.37,3.54,
Anguilla,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,14053.45,22210.59,2.52,1.05,12.82,,,,1.29,13.24
Arab World,,,,,,5627.43,13598.87,4.48,,,69.22,58.82,78.57,2.25,21.52
Argentina,9.35,9.37,92.26,93.46,91.09,10292.38,18266.26,4.97,1.6,6972.73,99.17,99.23,99.1,1.04,
Armenia,10.8,10.84,99.53,99.7,99.35,3247.63,7317.55,2.88,0.54,58.43,99.87,99.88,99.85,-0.15,18.41
Aruba,,,,,,24850.2,36662.98,5.69,1.44,38.27,98.02,98.24,97.77,0.58,
Australia,11.64,11.66,,,,51012.6,41620.14,5.05,1.73,20412.08,,,,1.52,
Austria,8.78,9.68,,,,46662.13,44582.24,5.43,0.94,3654,,,,0.57,
Azerbaijan,,,97.94,96.71,99.02,4934.53,14574.16,2.69,,,99.9,99.87,99.95,1.26,15.54
"Bahamas, The",,,,,,30081.86,30141.31,,,,,,,1.39,21.15
Bahrain,6.8,6.83,,,,21747.41,42451.47,2.57,0.83,266.72,96.36,94.48,97.26,4.67,12.29
Bangladesh,4.04,4.55,73.4,78.72,67.75,927.92,2783.17,1.94,0.92,823.15,59.12,54.67,63.66,1.2,30.05
Barbados,9.37,9.26,98.45,99.47,97.48,16160.28,16656.04,5.35,1.63,65.32,99.7,99.7,99.7,0.29,14.59
Belarus,,,99.8,99.76,99.83,5651.86,15703.06,5.11,,,99.82,99.84,99.8,-0.22,18.11
Belgium,10.5,10.72,,,,43542.48,41346.61,6.4,1.53,7647.94,,,,0.65,
Belize,11.22,11.22,89.83,92.05,87.68,4452.75,7719.1,6.63,2.53,36.16,,,,2.35,68.57
Benin,1.9,3.1,52.58,47.74,56.67,781.26,1901.86,3.02,1.56,152.3,28.76,17.71,41.41,2.82,45.94
Bermuda,,,,,,84845.97,53800.44,2,0.65,35.59,,,,0.07,6.72
Bhutan,,,67.86,70.03,65.87,2248.71,6898.66,6.07,1.42,18.03,50.77,35.62,64.74,1.22,35.86
Bolivia,6.94,7.73,92.99,92.62,93.38,2265.12,5721.15,,,,92.55,88.53,96.88,1.62,
Bosnia and Herzegovina,,,99.47,99.5,99.43,4624.07,10107.28,,,,98.75,97.98,99.52,-0.83,
Botswana,8.43,8.57,,,,6669.52,14296.74,9.72,2.45,240.69,85.96,87.17,84.58,1.75,22.97
Brazil,7.31,7.2,94.78,96.32,93.29,9115.65,14171.76,5.5,1.61,29604.86,91.84,92.59,91.02,0.94,
British Virgin Islands,,,,,,,,3.38,0.95,,,,,,11.89
Brunei Darussalam,8.29,8.62,,,,34173.2,79157.24,3.21,0.72,87.2,97.69,97.32,98.03,1.29,10.01
Bulgaria,10.92,10.95,,,,6756.76,15562.85,3.78,0.73,349.26,98.73,98.53,98.92,-0.68,
Burkina Faso,,,30.28,28.1,32.06,575.46,1490.16,4.17,2.47,254.83,25.05,16.29,35.15,2.97,47.33
Burundi,1.99,2.48,35.45,35.67,35.31,230.06,716.31,5.51,2.68,50.38,52.17,44.57,60.44,3.21,46.22
Cabo Verde,,,,,,3185.54,5878.76,5.55,2.32,36.02,87.12,82.91,91.63,1.26,22.69
Cambodia,2.86,3.81,65.94,67.8,64.21,906.7,2809.77,1.75,0.85,114.69,74.48,66.76,83.47,1.56,43.56
Cameroon,4.93,5.72,66.54,66.03,67.12,1310.61,3021.6,2.87,1,251.47,71.28,64.13,78.69,2.71,57.6
Canada,12.41,12.39,,,,44873.96,41637.25,4.95,1.83,33052.79,,,,1.05,
Caribbean small states,,,,,,,,,,,90.87,93.29,88.38,,22.61
Cayman Islands,,,,,,75463.63,67018.48,2.48,1.18,27.76,99.22,99.12,99.32,2.13,15.27
Central African Republic,2.2,3.42,34.32,28.19,41.19,430.92,837.32,1.35,0.64,11.7,37.12,23.86,50.83,1.23,83.41
Central Europe and the Baltics,,,,,,,,,,,99.37,99.28,99.45,,
Chad,,,24.45,19.94,28.89,803.24,1840.32,2.17,0.98,96.35,20.85,10.05,32.56,3.34,95.01
Channel Islands,,,,,,63163.28,,,,,,,,0.85,
Chile,9.43,9.56,96.34,97.07,95.65,12420.96,19345.87,4.17,1.33,2818.92,97.8,97.84,97.74,1.11,18.34
China,6.4,6.99,95.73,96.24,95.28,5412.36,10666.37,,,,97.76,96.65,98.82,0.52,17.19
Colombia,7.52,7.57,90.2,92.85,87.82,5892.63,11621.88,4.4,1.65,4560.26,94.2,94.56,93.81,1.2,25.08
